Sample_Index,Input_C/N,Input_SOM,Input_Temperature,Input_water contentration,Input_PH,Input_TN,Input_NH4,Input_NO3,Input_EC,Actual_Value,Predicted_Value
0,23.2563,279.709,45.9404,52.6443,7.71726,7.01869,1.36889,59.447,1.28734,0.979592,3.4119392748272617
1,18.6347,265.173,70.838,50.5028,6.91865,8.28037,1.64444,89.369,1.55013,1.72595,3.4270641648904303
2,17.7642,251.403,77.3557,49.1061,6.84425,8.18224,1.90222,84.1589,1.93194,5.27114,2.746690911828283
3,16.9659,229.217,72.7933,49.5717,6.02579,7.97196,1.55556,89.4157,2.21473,1.39942,2.603413450574803
4,17.5387,232.022,69.2737,44.8231,5.77778,7.66355,1.58222,74.8602,2.57674,1.21283,1.6967063101048434
5,15.4037,218.251,69.5345,39.6089,6.60615,8.36449,1.44889,87.9752,2.4241,1.16618,0.0584110940351452
6,15.9028,204.481,58.5847,34.9534,7.6875,8.36449,1.49333,87.2581,2.66254,0.932945,0.7421020396851792
7,16.2217,202.696,39.5531,32.6257,7.92063,8.21028,1.54667,88.4105,2.24753,0.699708,0.2597000773458694
8,21.4882,295.519,46.4618,56.3687,7.58829,7.71963,1.29333,56.4563,1.52496,1.07289,4.010261175185363
9,18.2017,253.443,74.879,52.5512,7.41468,8.81308,2.35111,76.6587,1.82241,1.39942,3.421588789220962
10,17.4756,240.947,80.7449,50.9683,6.90873,8.42056,2.05778,72.1963,2.28342,4.52478,2.7065517778509065
11,16.0638,222.332,74.3575,50.0372,6.29365,9.0514,1.77778,81.5656,2.65533,1.63265,2.5735106060645707
12,16.7448,223.607,70.3166,47.2439,5.89187,8.72897,1.91111,84.9533,2.6708,1.02624,2.2157870329629876
13,16.1615,220.036,68.1006,38.4916,6.56151,9.64019,1.71556,92.2739,2.89935,1.07289,0.15377200326483131
14,16.5885,208.816,59.1061,34.3948,7.6379,8.93925,1.83556,97.165,3.29126,0.793003,0.5113628857239505
15,14.4898,204.991,39.8138,31.5084,7.9752,9.44393,1.73778,107.29,3.14851,0.793003,0.17707516630269032
16,26.5,56.0,4.0,65.8,7.38,1.85,1.59,271.0,1.78,1.22,1.6143959458955333
17,28.6,47.0,65.0,55.6,7.06,1.58,2.41,205.0,3.17,5.24,9.267855204446457
18,24.5,36.0,58.0,46.2,5.93,1.36,2.15,239.0,2.64,2.07,5.844581079009662
19,17.82,38.0,43.0,43.9,7.62,1.63,1.95,286.0,3.04,1.7,0.647212650056557
20,10.62,37.0,22.0,40.6,8.05,1.66,1.93,340.0,2.53,1.38,0.957604615209069
21,19.22,54.0,4.0,73.1,7.37,1.78,1.53,265.0,1.83,1.3,1.6886964286728101
22,23.51,45.0,63.0,64.5,7.09,1.51,2.45,202.0,3.31,5.18,18.554445125985193
23,20.95,39.0,60.0,53.7,5.9,1.34,2.16,234.0,2.58,2.03,13.065361174125705
24,17.55,30.0,50.0,52.7,7.63,1.5,1.93,288.0,2.98,1.79,3.3411342943992457
25,9.62,39.0,28.0,42.9,8.04,1.78,1.87,331.0,2.51,1.46,0.8505314537458549
26,26.1,55.9,4.0,65.3,7.33,1.74,1.56,265.0,1.79,1.29,1.6138788664906254
27,28.2,42.1,66.0,55.1,7.09,1.59,2.4,184.0,3.12,5.21,8.702469167694268
28,24.2,37.2,55.0,46.5,5.93,1.35,2.08,232.0,2.58,1.96,6.858241689864521
29,17.3,39.7,44.0,44.6,7.58,1.55,1.88,290.0,2.98,1.7,0.6406005632795247
30,10.5,26.6,25.0,40.5,8.0,1.54,1.87,325.0,2.46,1.42,1.0068973611491454
31,19.31,52.9,5.0,72.9,7.88,1.96,1.69,351.0,2.15,1.65,1.6287340530028955
32,23.22,46.1,60.0,64.3,7.55,1.69,2.34,300.0,3.72,5.43,15.026524151618588
33,21.29,36.7,56.0,53.1,6.74,1.53,2.15,348.0,3.18,2.0,6.752162124279029
34,17.36,37.8,50.0,52.1,7.94,1.76,1.84,397.0,3.38,1.0,1.4078463578168632
35,9.96,33.9,30.0,44.6,8.23,1.97,1.77,438.0,2.75,1.58,0.8606672792145263
36,25.85,51.1,7.0,65.4,7.85,2.03,1.64,342.0,2.12,1.32,1.601686869343584
37,28.25,41.0,70.0,55.2,7.52,1.64,2.32,291.0,3.66,6.0,2.9877945542149194
38,24.05,33.1,58.0,46.8,6.74,1.48,2.14,331.0,3.17,2.89,2.2587623138299437
39,17.5,33.0,48.0,44.7,7.95,1.57,1.81,407.0,3.44,1.78,0.4568813040881322
40,9.51,31.2,22.0,39.5,8.22,1.78,1.78,419.0,2.83,1.63,0.9284532408306877
41,19.19,50.8,6.0,72.4,7.88,1.86,1.65,351.0,2.03,1.2,1.6965350597194575
42,23.95,37.1,60.0,65.6,7.52,1.71,2.27,291.0,3.72,5.46,16.403043047573185
43,21.42,36.1,52.0,54.0,6.71,1.25,2.07,347.0,3.25,2.1,8.28624186783361
44,17.65,29.7,47.0,53.0,7.9,1.62,1.81,408.0,3.38,1.6,1.6915933065841549
45,9.97,33.0,29.0,43.6,8.18,1.83,1.7,430.0,2.82,1.56,0.7565461024905612
